repo,config,query_type,n,recall_at_k,mrr,ndcg,citation_precision,citation_recall,faithfulness,answer_relevancy,abstention_accuracy,latency_ms_mean,latency_ms_p95
acme/widgets,1.retrieval-only,causal,1,1.0000,0.5000,0.6241,0.5000,0.5000,,,,8601.0276,8601.0276
acme/widgets,1.retrieval-only,cross_commit,1,0.6667,1.0000,0.6364,0.0000,0.0000,,,,5567.7392,5567.7392
acme/widgets,1.retrieval-only,evolution,1,1.0000,1.0000,1.0000,0.6667,0.6667,,,,9171.0440,9171.0440
acme/widgets,1.retrieval-only,factual,1,1.0000,1.0000,1.0000,0.6667,1.0000,,,,14316.3573,14316.3573
acme/widgets,1.retrieval-only,unanswerable,1,,,,,,,,1.0000,9831.4877,9831.4877
acme/widgets,2.+MMR,causal,1,0.0000,0.0000,0.0000,0.0000,0.0000,,,,8885.5277,8885.5277
acme/widgets,2.+MMR,cross_commit,1,0.3333,1.0000,0.4693,0.5000,0.3333,,,,7073.4588,7073.4588
acme/widgets,2.+MMR,evolution,1,0.6667,1.0000,0.7039,0.5000,0.3333,,,,15711.4655,15711.4655
acme/widgets,2.+MMR,factual,1,1.0000,1.0000,0.8316,1.0000,0.5000,,,,10204.4256,10204.4256
acme/widgets,2.+MMR,unanswerable,1,,,,,,,,1.0000,12872.0844,12872.0844
acme/widgets,3.+MMR+reranker,causal,1,1.0000,1.0000,0.8503,1.0000,1.0000,,,,9369.0547,9369.0547
acme/widgets,3.+MMR+reranker,cross_commit,1,1.0000,1.0000,0.8385,1.0000,0.6667,,,,9334.7776,9334.7776
acme/widgets,3.+MMR+reranker,evolution,1,1.0000,1.0000,1.0000,0.5000,0.3333,,,,23097.9417,23097.9417
acme/widgets,3.+MMR+reranker,factual,1,1.0000,1.0000,0.9197,0.5000,0.5000,,,,17916.9604,17916.9604
acme/widgets,3.+MMR+reranker,unanswerable,1,,,,,,,,1.0000,15274.8540,15274.8540
acme/widgets,4.full+guard,causal,1,1.0000,1.0000,0.8503,1.0000,1.0000,,,,14915.6355,14915.6355
acme/widgets,4.full+guard,cross_commit,1,1.0000,1.0000,0.8385,1.0000,0.6667,,,,7983.9669,7983.9669
acme/widgets,4.full+guard,evolution,1,1.0000,1.0000,1.0000,0.5000,0.6667,,,,20940.3648,20940.3648
acme/widgets,4.full+guard,factual,1,1.0000,1.0000,0.9197,0.5000,0.5000,,,,8784.6268,8784.6268
acme/widgets,4.full+guard,unanswerable,1,,,,,,,,1.0000,12897.5545,12897.5545
acme/widgets,5.full+guard+retry,causal,1,1.0000,1.0000,0.8503,1.0000,1.0000,,,,17440.7119,17440.7119
acme/widgets,5.full+guard+retry,cross_commit,1,1.0000,1.0000,0.8385,1.0000,0.6667,,,,4834.7581,4834.7581
acme/widgets,5.full+guard+retry,evolution,1,1.0000,1.0000,1.0000,0.6667,0.6667,,,,7233.7707,7233.7707
acme/widgets,5.full+guard+retry,factual,1,1.0000,1.0000,0.9197,0.5000,0.5000,,,,9030.3342,9030.3342
acme/widgets,5.full+guard+retry,unanswerable,1,,,,,,,,1.0000,10276.1852,10276.1852
acme/widgets,dense-only,causal,1,1.0000,1.0000,0.8503,1.0000,1.0000,,,,8281.4215,8281.4215
acme/widgets,dense-only,cross_commit,1,1.0000,1.0000,0.8385,1.0000,0.6667,,,,5103.4949,5103.4949
acme/widgets,dense-only,evolution,1,1.0000,1.0000,1.0000,0.6667,0.6667,,,,7428.4103,7428.4103
acme/widgets,dense-only,factual,1,1.0000,1.0000,0.9197,0.5000,0.5000,,,,4957.5590,4957.5590
acme/widgets,dense-only,unanswerable,1,,,,,,,,1.0000,7653.5567,7653.5567
acme/widgets,sparse-only,causal,1,1.0000,1.0000,0.8772,1.0000,1.0000,,,,9849.0503,9849.0503
acme/widgets,sparse-only,cross_commit,1,1.0000,1.0000,0.8385,1.0000,0.6667,,,,5092.3422,5092.3422
acme/widgets,sparse-only,evolution,1,1.0000,1.0000,1.0000,0.6667,0.6667,,,,11457.9530,11457.9530
acme/widgets,sparse-only,factual,1,1.0000,1.0000,0.9197,0.5000,0.5000,,,,10386.5845,10386.5845
acme/widgets,sparse-only,unanswerable,1,,,,,,,,1.0000,14798.6648,14798.6648
