repo,config,query_type,n,recall_at_k,mrr,ndcg,citation_precision,citation_recall,faithfulness,answer_relevancy,abstention_accuracy,latency_ms_mean,latency_ms_p95
pallets/click,1.retrieval-only,causal,7,0.8571,0.7381,0.7652,0.4143,0.7143,0.9657,0.9857,,8318.6670,39601.5525
pallets/click,1.retrieval-only,factual,13,0.9231,0.7372,0.8172,0.3231,0.6923,0.7877,0.9308,,3547.6562,9344.6085
pallets/click,2.+MMR,causal,7,0.5714,0.4571,0.4838,0.3333,0.4286,0.9171,0.9429,,50098.0597,104769.0022
pallets/click,2.+MMR,factual,13,0.5385,0.5385,0.5385,0.3974,0.5385,0.8538,0.9077,,10170.3531,108368.6140
pallets/click,3.+MMR+reranker,causal,7,0.7143,0.7143,0.7143,0.6190,0.7143,0.8171,0.9571,,69127.3934,110868.1431
pallets/click,3.+MMR+reranker,factual,13,0.5385,0.4615,0.4817,0.4231,0.4615,0.8977,0.9615,,55924.4042,108582.9244
pallets/click,4.full+guard,causal,7,0.7143,0.7143,0.7143,0.6190,0.7143,0.7957,0.9143,,77429.4765,168619.6634
pallets/click,4.full+guard,factual,13,0.5385,0.4615,0.4817,0.2821,0.4615,0.8085,0.9269,,54269.1695,135853.5185
pallets/click,5.full+guard+retry,causal,7,0.7143,0.6429,0.6616,0.5357,0.7143,0.9086,0.9929,,95409.9020,201972.1578
pallets/click,5.full+guard+retry,factual,13,0.6923,0.3846,0.4634,0.2308,0.4615,0.6715,0.7923,,81976.3001,166430.7760
pallets/click,6.full+graph,causal,7,0.7143,0.6429,0.6616,0.4643,0.7143,0.9214,0.9857,,74867.1995,195010.4221
pallets/click,6.full+graph,factual,13,0.6154,0.3590,0.4249,0.2949,0.4615,0.9169,0.9923,,70213.4949,145060.4274
pallets/click,dense-only,causal,7,0.8571,0.7619,0.7857,0.4048,0.7143,0.9343,1.0000,,43379.2327,56272.5285
pallets/click,dense-only,factual,13,0.6154,0.4487,0.4918,0.3333,0.4615,0.8269,0.9692,,61205.8426,130058.4082
pallets/click,sparse-only,causal,7,0.8571,0.7857,0.8044,0.4286,0.4286,0.8614,0.9429,,84282.9854,203675.5337
pallets/click,sparse-only,factual,13,0.6154,0.4295,0.4763,0.4231,0.4615,0.7438,0.8077,,90550.1980,257178.8978
psf/requests,1.retrieval-only,causal,7,0.7143,0.6429,0.7168,0.3095,0.5714,0.5071,0.7686,,112755.2469,212044.2603
psf/requests,1.retrieval-only,factual,13,0.7692,0.5705,0.7359,0.4192,0.6923,0.6385,0.6615,,91860.7544,193772.0757
psf/requests,2.+MMR,causal,7,0.5714,0.5000,0.5187,0.3095,0.5714,0.6143,0.7857,,89631.8914,149959.0230
psf/requests,2.+MMR,factual,13,0.4615,0.4231,0.4331,0.3462,0.3846,0.6615,0.8462,,102625.8800,194031.6650
psf/requests,3.+MMR+reranker,causal,7,0.7143,0.4286,0.5034,0.2857,0.5714,0.7143,0.8000,,124303.6172,220200.8457
psf/requests,3.+MMR+reranker,factual,13,0.4615,0.4615,0.5101,0.3423,0.4615,0.5769,0.7308,,69946.3202,190216.6645
psf/requests,4.full+guard,causal,7,0.7143,0.4286,0.5034,0.2857,0.4286,0.5357,0.7286,,59903.8265,114244.7953
psf/requests,4.full+guard,factual,13,0.4615,0.4615,0.5101,0.3000,0.4615,0.5692,0.6615,,104078.3174,218891.9760
psf/requests,5.full+guard+retry,causal,7,0.8571,0.5714,0.6462,0.2786,0.5714,0.7143,0.8000,,74310.8797,154170.5583
psf/requests,5.full+guard+retry,factual,13,0.6154,0.6154,0.6639,0.4538,0.6154,0.5308,0.6231,,65549.4152,165057.7529
psf/requests,6.full+graph,causal,7,0.7143,0.4286,0.5034,0.3095,0.5714,0.6429,0.7500,,70256.4972,118955.6312
psf/requests,6.full+graph,factual,13,0.6154,0.6154,0.6639,0.3103,0.5385,0.5769,0.6923,,50958.6651,122270.3096
psf/requests,dense-only,causal,7,0.7143,0.4286,0.5748,0.3857,0.7143,0.5286,0.7071,,69341.8751,152172.9665
psf/requests,dense-only,factual,13,0.6154,0.5769,0.7138,0.3936,0.6154,0.6769,0.7308,,53272.7628,105373.2590
psf/requests,sparse-only,causal,7,0.8571,0.4333,0.5908,0.5714,0.8571,0.6571,0.8714,,76527.6983,137033.5760
psf/requests,sparse-only,factual,13,0.8462,0.6795,0.7711,0.6161,0.8462,0.6077,0.8538,,74068.2015,143149.3207
