repo,config,query_type,n,recall_at_k,mrr,ndcg,citation_precision,citation_recall,faithfulness,answer_relevancy,abstention_accuracy,latency_ms_mean,latency_ms_p95
pallets/click,1.retrieval-only,causal,7,0.8571,0.7381,0.7652,0.4762,0.5714,0.9143,0.9571,,39371.5878,52505.9260
pallets/click,1.retrieval-only,factual,13,0.9231,0.7372,0.8172,0.2564,0.4615,0.8777,0.9846,,37147.3968,60834.4845
pallets/click,2.+MMR,causal,7,0.5714,0.4571,0.4838,0.3333,0.4286,0.6286,0.8286,,25790.6968,61832.7867
pallets/click,2.+MMR,factual,13,0.5385,0.5385,0.5385,0.3077,0.3846,0.5500,0.7538,,28535.2108,51348.7269
pallets/click,3.+MMR+reranker,causal,7,0.7143,0.7143,0.7143,0.4286,0.4286,0.7714,0.8857,,58071.2348,71434.0046
pallets/click,3.+MMR+reranker,factual,13,0.5385,0.4615,0.4817,0.4231,0.5385,0.6269,0.8000,,38949.8701,48929.2023
pallets/click,4.full+guard,causal,7,0.7143,0.7143,0.7143,0.4762,0.5714,0.8429,0.9286,,18297.8912,25489.9357
pallets/click,4.full+guard,factual,13,0.5385,0.4615,0.4817,0.3846,0.4615,0.5962,0.7923,,16517.9103,25472.4316
pallets/click,5.full+guard+retry,causal,7,0.7143,0.6429,0.7168,0.5000,0.5714,0.7143,0.7857,,43789.8073,79149.8174
pallets/click,5.full+guard+retry,factual,13,0.6923,0.3846,0.4634,0.2436,0.3846,0.7423,0.8923,,35912.8238,80100.2548
pallets/click,6.full+graph,causal,7,0.7143,0.6429,0.6616,0.4286,0.4286,0.8286,0.9143,,20534.8216,33060.4959
pallets/click,6.full+graph,factual,13,0.6154,0.3590,0.4249,0.2564,0.3846,0.6669,0.8385,,18028.6342,25505.1443
pallets/click,dense-only,causal,7,0.8571,0.7619,0.7857,0.5714,0.8571,0.7714,0.8857,,32647.3084,41227.1187
pallets/click,dense-only,factual,13,0.6154,0.4487,0.4918,0.3333,0.4615,0.6526,0.8692,,23877.0544,34624.9494
pallets/click,sparse-only,causal,7,0.8571,0.7857,0.8044,0.4286,0.4286,0.8429,0.9286,,42522.9858,56832.3203
pallets/click,sparse-only,factual,13,0.6154,0.4295,0.4763,0.4231,0.4615,0.7000,0.8231,,31255.8751,45139.8113
psf/requests,1.retrieval-only,causal,7,0.7143,0.6429,0.7168,0.2857,0.2857,0.5957,0.7714,,30919.2014,46940.2880
psf/requests,1.retrieval-only,factual,13,0.7692,0.5705,0.7359,0.4128,0.6154,0.6538,0.7231,,44168.0287,67170.6823
psf/requests,2.+MMR,causal,7,0.5714,0.5000,0.5187,0.3571,0.4286,0.5429,0.7357,,38601.1639,47324.1596
psf/requests,2.+MMR,factual,13,0.4615,0.4231,0.4331,0.4615,0.4615,0.5692,0.6846,,33459.2315,54165.1404
psf/requests,3.+MMR+reranker,causal,7,0.7143,0.4286,0.5034,0.2857,0.4286,0.7286,0.7714,,40178.6223,50251.2723
psf/requests,3.+MMR+reranker,factual,13,0.4615,0.4615,0.5101,0.3397,0.4615,0.5615,0.6692,,52318.2882,71936.3766
psf/requests,4.full+guard,causal,7,0.7143,0.4286,0.5034,0.2857,0.4286,0.6000,0.7071,,27697.5373,52488.1086
psf/requests,4.full+guard,factual,13,0.4615,0.4615,0.5101,0.3462,0.4615,0.5077,0.6231,,23126.9640,48153.2422
psf/requests,5.full+guard+retry,causal,7,0.7143,0.3929,0.5300,0.3333,0.4286,0.4614,0.7286,,41022.3569,117874.6040
psf/requests,5.full+guard+retry,factual,13,0.6154,0.6154,0.7125,0.3654,0.4615,0.6000,0.6462,,50258.5000,128503.1595
psf/requests,6.full+graph,causal,7,0.7143,0.4286,0.5034,0.2143,0.2857,0.5714,0.7143,,23311.6706,54880.1069
psf/requests,6.full+graph,factual,13,0.6154,0.6154,0.6639,0.3846,0.5385,0.6538,0.7269,,20840.5618,45181.0726
psf/requests,dense-only,causal,7,0.7143,0.4286,0.5748,0.3214,0.5714,0.7857,0.8429,,65943.2097,106078.4246
psf/requests,dense-only,factual,13,0.6154,0.5769,0.7138,0.3615,0.6154,0.8462,0.9231,,66707.7660,116950.0513
psf/requests,sparse-only,causal,7,0.8571,0.4333,0.5908,0.5238,0.7143,0.6571,0.8643,,50677.6857,80233.0533
psf/requests,sparse-only,factual,13,0.8462,0.6795,0.7711,0.6346,0.7692,0.9692,0.9962,,61252.7120,92309.6796
